1,BCRP,MDR1,MRP1,MRP2,MRP3,MRP4,MRP5,MRP6,MRP7,MRP8,MRP9,SMILES
AMBENYL; BROMODIPHENHYDRAMINE HYDROCHLORIDE,-7.9,-6.6,-5.1,-4.2,-5.5,-5.8,-6.9,-4.2,-4.5,-5.7,-6.9,CN(C)CCO[C@@H](c1ccccc1)c1ccc(Br)cc1
AMBIEN CR; ZOLPIDEM TARTRATE,-7.7,-8.0,-5.1,-4.5,-5.5,-6.7,-5.1,-3.9,-5.4,-6.0,-5.5,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
AMCILL; AMPICILLIN/AMPICILLIN TRIHYDRATE,-6.6,-7.8,-6.7,-4.7,-6.5,-6.7,-9.7,-6.0,-5.0,-7.0,-6.2,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
AMEN; MEDROXYPROGESTERONE ACETATE,-4.2,-6.8,-6.0,-6.1,-5.1,-6.3,-8.4,-5.0,-4.4,-3.0,-6.2,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
AMERGE; NARATRIPTAN HYDROCHLORIDE,-7.2,-7.0,-6.3,-4.9,-5.7,-6.9,-5.9,-5.1,-5.9,-4.8,-6.1,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1
AMICAR; AMINOCAPROIC ACID,-2.6,-0.1,-2.7,-1.9,-2.5,-6.2,-5.0,-4.8,-1.8,-4.3,-5.7,[NH3+]CCCCCC(=O)[O-]
AMIDATE; ETOMIDATE,-7.6,-6.4,-5.0,-2.6,-4.6,-4.9,-4.2,-3.3,-4.0,-5.0,-5.4,CCOC(=O)c1cncn1[C@H](C)c1ccccc1
AMILORIDE HYDROCHLORIDE; AMILORIDE HYDROCHLORIDE,-4.9,-4.2,-4.4,-4.5,-3.6,-5.9,-5.1,-5.9,-5.4,-4.3,-5.0,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
AMINOACETIC ACID 1.5% IN PLASTIC CONTAINER; GLYCINE,-1.3,-1.0,-1.1,-2.2,-2.3,-4.4,-3.3,-2.7,-0.7,-1.9,-3.7,[NH3+]CC(=O)[O-]
AMINOHIPPURATE SODIUM; AMINOHIPPURATE SODIUM,-5.0,-4.8,-5.7,-4.6,-3.9,-6.0,-9.1,-4.2,-3.9,-3.5,-4.6,Nc1ccc(C(=O)NCC(=O)[O-])cc1
AMINOSYN 3.5% M IN PLASTIC CONTAINER; PHOSPHORIC ACID,-8.2,-9.4,-6.3,-4.7,-5.5,-6.3,-8.4,-3.8,-4.0,-5.4,-6.5,Fc1ccc(Nc2ncnc3sc(Br)cc23)cc1Cl
AMINOSYN 3.5% M IN PLASTIC CONTAINER; SODIUM CHLORIDE,-5.3,-5.9,-4.4,-4.2,-4.4,-5.0,-5.3,-1.2,-4.8,-4.9,-5.2,Cc1ccc2c(c1)c(/C=C/c1cc[n+](C)cc1)c(C)n2C
AMINOSYN II 10% W/ ELECTROLYTES; POTASSIUM CHLORIDE,-7.4,-6.6,-5.4,-7.7,-7.8,-5.9,-4.3,-4.6,-3.7,-4.4,-5.1,COc1cccc2sc(Nc3nnc(-c4cccs4)o3)nc12
AMIODARONE HYDROCHLORIDE; AMIODARONE HYDROCHLORIDE,-8.7,-10.7,-6.7,-4.2,-7.0,-6.5,-8.6,-4.2,-2.5,-6.3,-4.8,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
AMITID; AMITRIPTYLINE HYDROCHLORIDE,-2.6,-7.3,-5.3,-3.6,-4.5,-6.1,-5.6,-3.5,-5.1,-2.7,-6.3,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21
AMLODIPINE AND OLMESARTAN MEDOXOMIL; AMLODIPINE,-5.8,-10.0,-6.9,-5.4,-6.8,-7.8,-8.7,-6.5,-7.7,-8.2,-8.8,C=C1N=C(COCC[NH3+])[C@H](C(=O)OCC)[C@@H](c2ccccc2Cl)[C@@H]1C(=O)OC
AMLODIPINE AND OLMESARTAN MEDOXOMIL; OLMESARTAN MEDOXOMIL,-9.6,-8.2,-8.6,-6.8,-7.4,-6.8,-8.1,-4.5,-6.1,-6.9,-4.7,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM; ATORVASTATIN CALCIUM,-12.8,-11.6,-7.2,-10.1,-8.7,-10.3,-11.2,-8.4,-6.3,-6.1,-9.6,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-]
AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE; BENAZEPRIL HYDROCHLORIDE,-7.4,-10.1,-6.7,-7.4,-6.4,-10.0,-12.0,-5.1,-5.6,-7.6,-8.3,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)[O-])C1=O
AMLODIPINE BESYLATE AND VALSARTAN; VALSARTAN,-7.8,-7.4,-5.2,-4.5,-4.9,-5.7,-11.9,-3.7,-4.3,-4.0,-8.3,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)[C@H](C(=O)[O-])C(C)C
AMMONUL; SODIUM BENZOATE,-4.9,-4.4,-5.1,-1.9,-2.9,-5.3,-7.8,-2.7,-3.0,-5.0,-5.1,O=C([O-])c1ccccc1
AMMONUL; SODIUM PHENYLACETATE,-5.0,-4.6,-5.3,-2.9,-3.3,-5.4,-8.3,-4.3,-3.0,-5.9,-3.1,O=C([O-])Cc1ccccc1
AMOXAPINE; AMOXAPINE,-7.0,-8.3,-5.0,-5.2,-5.6,-5.5,-6.8,-3.9,-4.6,-5.7,-7.0,Clc1ccc2c(c1)C(N1CC[NH2+]CC1)=Nc1ccccc1O2
AMOXICILLIN; AMOXICILLIN,-3.9,-7.6,-6.2,-6.7,-7.0,-8.3,-10.6,-6.2,-5.2,-8.0,-2.9,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)[O-]
AMPHICOL; CHLORAMPHENICOL,-7.5,-6.8,-6.2,-5.5,-5.7,-4.0,-5.8,-5.2,-4.1,-5.2,-7.1,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
AMPYRA; DALFAMPRIDINE,-3.1,-3.8,-3.4,-2.4,-2.9,-3.0,-2.5,-2.9,-4.0,-3.4,-3.8,Nc1cc[nH+]cc1
AMRINONE LACTATE; INAMRINONE LACTATE,-6.6,-6.2,-4.2,-5.0,-4.0,-4.9,-4.6,-4.2,-4.5,-4.0,-5.1,Nc1cc(-c2ccncc2)c[nH]c1=O
AMTURNIDE; ALISKIREN HEMIFUMARATE,-4.9,-9.7,-8.4,-7.1,-7.8,-8.5,-9.2,-6.8,-3.9,-4.9,-7.2,COCCCOc1cc(C[C@@H](C[C@H]([NH3+])[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
ANAFRANIL; CLOMIPRAMINE HYDROCHLORIDE,-4.5,-4.7,-5.2,-4.3,-6.2,-6.3,-3.0,-3.8,-4.8,-3.0,-5.9,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
ANASTROZOLE; ANASTROZOLE,-6.7,-7.2,-6.7,-5.3,-5.5,-5.4,-6.0,-3.3,-5.5,-5.9,-6.0,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
ANDRODERM; TESTOSTERONE,-5.9,-8.5,-6.8,-5.8,-6.2,-6.1,-7.2,-5.1,-5.3,-6.2,-6.6,C[C@@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]43C)[C@@H]1CC[C@@H]2O
ANDROID 10; METHYLTESTOSTERONE,-5.1,-7.6,-6.1,-4.8,-5.1,-4.6,-6.5,-4.2,-4.1,-3.4,-6.8,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
ANDROID-F; FLUOXYMESTERONE,-4.2,-5.8,-6.2,-4.6,-5.3,-5.4,-6.3,-4.9,-4.9,-3.7,-6.9,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
ANECTINE; SUCCINYLCHOLINE CHLORIDE,-2.8,-4.3,-3.0,-2.5,-4.3,-3.2,-2.4,-2.9,-3.6,-3.4,-1.1,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
ANHYDRON; CYCLOTHIAZIDE,-7.6,-7.1,-5.9,-5.4,-6.3,-7.6,-7.3,-5.3,-6.3,-5.9,-7.4,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H]([C@@H]1C[C@@H]3C=C[C@H]1C3)NS2(=O)=O
ANISOTROPINE METHYLBROMIDE; ANISOTROPINE METHYLBROMIDE,-6.6,-7.0,-4.8,-3.5,-3.9,-4.4,-5.6,-3.2,-4.6,-4.2,-4.6,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C
ANORO ELLIPTA; VILANTEROL TRIFENATATE,-6.2,-6.9,-5.7,-4.4,-6.0,-7.2,-9.8,-2.4,-3.8,-6.9,-7.2,O=C([O-])C(c1ccccc1)(c1ccccc1)c1ccccc1
ANSAID; FLURBIPROFEN,-8.4,-7.4,-6.7,-4.6,-5.0,-7.9,-8.2,-4.3,-4.5,-7.7,-6.6,C[C@H](C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1
ANSPOR; CEPHRADINE,-7.5,-5.2,-5.3,-7.5,-7.0,-6.9,-8.4,-6.5,-5.4,-6.8,-7.3,CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])C3=CCC=CC3)[C@H]2SC1
ANTABUSE; DISULFIRAM,-5.4,-4.8,-4.1,-3.4,-3.2,-3.6,-4.5,-2.9,-3.2,-4.0,-4.3,CCN(CC)C(=S)SSC(=S)N(CC)CC
ANTARA (MICRONIZED); FENOFIBRATE,-8.2,-7.4,-6.6,-4.7,-5.8,-7.9,-7.6,-4.3,-4.1,-8.3,-9.8,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
ANTHELIOS 20; OCTOCRYLENE,-9.5,-9.2,-6.9,-5.1,-6.4,-6.6,-4.8,-4.6,-5.3,-5.7,-5.0,CCCC[C@H](CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1
ANTIVERT; MECLIZINE HYDROCHLORIDE,-7.6,-8.8,-5.7,-5.1,-6.2,-7.0,-6.8,-4.5,-5.0,-4.7,-6.9,Cc1cccc(C[NH+]2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1
ANTURANE; SULFINPYRAZONE,-11.2,-9.3,-8.4,-5.3,-7.6,-6.2,-7.7,-5.1,-5.6,-7.4,-6.7,O=c1c(CC[S@](=O)c2ccccc2)c([O-])n(-c2ccccc2)n1-c1ccccc1
APLENZIN; BUPROPION HYDROBROMIDE,-6.3,-7.5,-4.9,-3.8,-7.1,-5.7,-6.1,-4.4,-4.6,-4.3,-5.2,C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1
APOKYN; APOMORPHINE HYDROCHLORIDE,-9.4,-9.5,-6.9,-5.6,-6.4,-6.5,-8.1,-4.9,-4.7,-6.5,-7.6,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
APRACLONIDINE HYDROCHLORIDE; APRACLONIDINE HYDROCHLORIDE,-3.0,-2.6,-4.2,-3.5,-3.8,-4.3,-3.9,-3.5,-4.3,-3.0,-3.8,Nc1cc(Cl)c(NC2=[NH+]CCN2)c(Cl)c1
APREPITANT; APREPITANT,-9.8,-9.4,-8.1,-6.7,-8.2,-8.1,-7.4,-5.2,-6.7,-5.6,-4.9,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
APRESAZIDE; HYDRALAZINE HYDROCHLORIDE,-5.8,-5.3,-4.3,-2.9,-6.8,-4.3,-6.6,-5.8,-4.6,-3.8,-6.8,NNc1[nH+]ncc2ccccc12
APRISO; MESALAMINE,-5.0,-4.7,-3.9,-4.6,-4.1,-6.3,-8.7,-3.8,-5.4,-4.0,-6.5,Nc1ccc(O)c(C(=O)[O-])c1
APTIOM; ESLICARBAZEPINE ACETATE,-7.3,-7.2,-5.7,-4.7,-7.0,-7.3,-7.4,-4.5,-5.7,-6.0,-6.2,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21
APTIVUS; TIPRANAVIR,-9.3,-12.1,-9.3,-6.7,-10.8,-9.0,-9.3,-6.0,-6.7,-6.6,-10.7,CCC[C@@]1(CCc2ccccc2)CC(=O)[C@H]([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
AQUAMEPHYTON; PHYTONADIONE,-8.6,-8.2,-5.4,-4.4,-6.6,-8.0,-5.6,-4.8,-3.6,-4.8,-3.5,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O
ARALEN PHOSPHATE W/ PRIMAQUINE PHOSPHATE; PRIMAQUINE PHOSPHATE,-5.7,-6.4,-5.6,-4.2,-4.8,-5.0,-6.7,-4.9,-4.9,-6.7,-7.6,COc1cc(N[C@@H](C)CCC[NH3+])c2ncccc2c1
ARALEN; CHLOROQUINE PHOSPHATE,-7.6,-6.1,-4.7,-4.6,-4.3,-5.5,-4.6,-3.0,-4.2,-5.5,-5.4,CC[NH+](CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12
ARAVA; LEFLUNOMIDE,-6.8,-7.3,-4.9,-4.4,-3.9,-5.1,-7.0,-3.9,-3.2,-4.9,-2.5,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
ARCAPTA NEOHALER; INDACATEROL MALEATE,-9.1,-10.1,-5.5,-4.9,-7.6,-8.1,-9.1,-2.2,-7.8,-6.9,-7.3,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2
ARESTIN; MINOCYCLINE HYDROCHLORIDE,-10.8,-8.9,-7.0,-8.5,-9.9,-8.4,-11.2,-7.8,-7.0,-9.1,-7.1,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@H]3[C@@H](N(C)C)C(=O)C(C(N)=O)=C([O-])[C@]3(O)C([O-])=C1C2=O
ARESTOCAINE HYDROCHLORIDE W/ LEVONORDEFRIN; LEVONORDEFRIN,-8.7,-9.1,-6.6,-4.9,-6.4,-7.5,-8.2,-5.6,-5.4,-5.8,-6.1,Cc1cc(=O)oc2cc(NC(=O)[N-]S(=O)(=O)c3ccccc3)ccc12
ARESTOCAINE HYDROCHLORIDE; MEPIVACAINE HYDROCHLORIDE,-5.7,-7.3,-4.3,-4.5,-5.6,-5.2,-6.4,-3.6,-3.9,-5.0,-5.6,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1C
ARICEPT; DONEPEZIL HYDROCHLORIDE,-8.3,-8.0,-6.3,-4.9,-6.7,-7.2,-6.2,-4.9,-4.7,-5.0,-6.6,COc1cc2c(cc1OC)C(=O)[C@H](CC1CC[NH+](Cc3ccccc3)CC1)C2
ARISTOCORT; TRIAMCINOLONE,-5.1,-6.8,-6.4,-5.5,-5.7,-8.0,-6.6,-5.1,-6.0,-4.4,-7.3,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
ARMODAFINIL; ARMODAFINIL,-7.8,-8.9,-6.4,-5.5,-6.4,-4.1,-6.8,-4.6,-5.0,-5.5,-6.2,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
ARNUITY ELLIPTA; FLUTICASONE FUROATE,-5.5,-3.9,-6.3,-4.2,-7.0,-2.2,-6.3,-4.7,-3.6,-3.6,-4.3,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF
AROMASIN; EXEMESTANE,-5.8,-7.7,-7.1,-3.9,-4.9,-5.8,-5.7,-4.3,-4.8,-2.4,-6.1,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12
ARTANE; TRIHEXYPHENIDYL HYDROCHLORIDE,-5.5,-7.6,-5.3,-3.9,-4.7,-5.9,-6.7,-5.4,-4.3,-4.3,-6.1,O[C@](CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1
ARTHROTEC; DICLOFENAC SODIUM,-6.7,-6.1,-6.0,-5.1,-5.4,-8.3,-10.2,-3.6,-3.8,-5.4,-6.7,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
ARTHROTEC; MISOPROSTOL,-10.7,-8.7,-8.5,-8.5,-6.6,-6.7,-7.8,-5.7,-6.6,-7.3,-7.6,CCCC[C@@](C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
ARTICAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE; ARTICAINE HYDROCHLORIDE,-7.4,-6.9,-5.3,-5.6,-5.2,-6.3,-7.0,-4.1,-4.0,-5.2,-5.9,O=[N+]([O-])c1ccc2[nH]c3cc(C(F)(F)F)ccc3c2c1
ASMANEX HFA; MOMETASONE FUROATE,-5.5,-8.2,-5.9,-6.0,-3.5,-5.7,-6.3,-4.7,-6.1,-3.3,-6.4,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
ASTELIN; AZELASTINE HYDROCHLORIDE,-9.5,-10.2,-7.1,-5.1,-6.9,-7.1,-8.3,-5.2,-5.4,-5.6,-6.4,C[N@H+]1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
ASTRAMORPH PF; MORPHINE SULFATE,-4.3,-7.6,-5.7,-3.3,-7.2,-6.2,-5.1,-6.1,-6.6,-6.1,-6.5,C[N@H+]1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
ATACAND; CANDESARTAN CILEXETIL,-10.4,-11.2,-8.6,-6.6,-9.4,-8.5,-10.0,-6.9,-5.8,-7.3,-9.5,CCOc1nc2cccc(C(=O)O[C@@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
ATARAX; HYDROXYZINE HYDROCHLORIDE,-7.4,-8.8,-6.3,-5.7,-7.5,-7.0,-8.3,-5.2,-6.0,-5.5,-7.3,OCCOCC[NH+]1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1
ATAZANAVIR SULFATE AND RITONAVIR; ATAZANAVIR SULFATE,-9.6,-6.3,-7.8,-8.1,-6.1,-6.7,-7.6,-6.7,-4.1,-4.3,-10.1,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
ATAZANAVIR SULFATE AND RITONAVIR; RITONAVIR,-9.1,-10.4,-7.2,-7.6,-8.4,-9.8,-9.6,-6.8,-5.4,-6.3,-5.5,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
ATENOLOL AND CHLORTHALIDONE; ATENOLOL,-4.0,-6.2,-5.2,-4.7,-6.2,-6.8,-7.3,-4.4,-5.1,-6.3,-4.9,CC(C)[NH2+]C[C@@H](O)COc1ccc(CC(N)=O)cc1
ATENOLOL AND CHLORTHALIDONE; CHLORTHALIDONE,-6.1,-8.7,-6.3,-5.0,-6.2,-6.0,-8.1,-4.9,-5.5,-6.4,-7.1,NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl
ATIVAN; LORAZEPAM,-8.8,-8.6,-6.4,-5.9,-7.2,-7.2,-8.1,-5.7,-6.3,-6.5,-7.6,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O
ATNAA; ATROPINE,-8.4,-8.0,-6.6,-5.9,-6.9,-6.8,-6.6,-6.0,-7.0,-6.0,-6.3,C[N@@H+]1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@@H](CO)c1ccccc1)C2
ATNAA; PRALIDOXIME CHLORIDE,-3.1,-3.1,-2.3,-2.3,-3.0,-2.4,-2.7,-2.2,-3.1,-2.8,-1.9,C[n+]1ccccc1CN=O
ATOMOXETINE; ATOMOXETINE,-7.6,-7.3,-5.3,-5.3,-4.9,-6.4,-5.4,-5.2,-4.6,-6.0,-6.9,C[NH2+]CC[C@H](Oc1ccccc1C)c1ccccc1
ATOVAQUONE AND PROGUANIL HYDROCHLORIDE; ATOVAQUONE,-9.3,-8.2,-7.3,-5.2,-7.7,-6.8,-8.6,-3.9,-5.1,-4.7,-5.8,O=C1C(=O)C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)=C([O-])c2ccccc21
ATRACURIUM BESYLATE; ATRACURIUM BESYLATE,-9.4,-11.5,-10.3,-9.1,-10.9,-8.2,-7.4,-7.1,-7.3,-8.6,-6.6,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
ATRALIN; TRETINOIN,-6.5,-7.0,-5.3,-4.2,-4.6,-8.1,-10.5,-3.8,-4.6,-5.8,-7.2,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)[O-])C(C)(C)CCC1
ATRIPLA; EFAVIRENZ,-5.9,-9.2,-5.6,-4.3,-6.4,-6.0,-6.3,-4.7,-4.8,-5.9,-5.6,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
ATROMID-S; CLOFIBRATE,-6.2,-5.2,-3.9,-4.3,-4.5,-6.2,-7.1,-3.9,-3.8,-4.4,-6.2,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
ATROPINE AND DEMEROL; MEPERIDINE HYDROCHLORIDE,-4.5,-6.8,-4.6,-4.1,-3.7,-5.6,-6.5,-4.7,-4.9,-4.9,-6.0,CCOC(=O)C1(c2ccccc2)CC[NH+](C)CC1
AUBAGIO; TERIFLUNOMIDE,-7.7,-6.6,-6.3,-4.6,-5.4,-5.5,-6.2,-4.3,-3.5,-4.5,-6.3,CC(=O)/C(C#N)=C(/[O-])Nc1ccc(C(F)(F)F)cc1
AUREOMYCIN; CHLORTETRACYCLINE HYDROCHLORIDE,-5.3,-8.4,-7.2,-5.7,-8.0,-10.5,-8.0,-4.5,-5.7,-3.3,-6.8,C[NH+](C)[C@@H]1C(=O)C(C(N)=O)=C([O-])[C@@]2(O)C([O-])=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
AVAGARD; CHLORHEXIDINE GLUCONATE,-7.6,-7.2,-6.7,-6.0,-5.9,-7.1,-6.0,-5.2,-4.2,-7.0,-3.8,N=C(NCCCCCC/[NH+]=C(N)/N=C(/N)Nc1ccc(Cl)cc1)/[NH+]=C(\N)Nc1ccc(Cl)cc1
AVAGE; TAZAROTENE,-6.4,-7.8,-5.8,-4.6,-5.5,-5.0,-7.5,-4.1,-3.2,-5.2,-6.0,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
AVALIDE; IRBESARTAN,-5.8,-8.5,-7.3,-4.7,-5.5,-7.3,-6.6,-4.4,-4.1,-6.9,-6.3,CCCCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
AVANDAMET; ROSIGLITAZONE MALEATE,-11.0,-7.7,-6.7,-7.3,-7.1,-7.9,-8.7,-7.2,-5.8,-6.9,-6.3,CN(CCOc1ccc(C[C@@H]2SC(=O)[N-]C2=O)cc1)c1ccccn1
AVC; SULFANILAMIDE,-4.5,-4.9,-4.6,-3.2,-4.0,-4.0,-4.1,-4.3,-4.8,-4.0,-4.4,Nc1ccc(S(N)(=O)=O)cc1
AVELOX IN SODIUM CHLORIDE 0.8% IN PLASTIC CONTAINER; MOXIFLOXACIN HYDROCHLORIDE,-6.4,-5.4,-5.4,-7.1,-5.5,-7.2,-6.9,-5.7,-4.9,-3.7,-5.6,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12
AVODART; DUTASTERIDE,-7.9,-9.7,-6.6,-6.1,-5.2,-8.4,-6.8,-5.9,-4.9,-4.0,-4.5,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12
AVYCAZ; CEFTAZIDIME,-7.0,-10.4,-7.2,-7.6,-7.1,-6.6,-10.3,-6.1,-5.0,-4.5,-7.7,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-]
AZACITIDINE; AZACITIDINE,-7.8,-8.9,-7.7,-7.6,-7.0,-6.4,-6.9,-7.0,-7.7,-6.9,-7.3,N=c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
AZACTAM; AZTREONAM,-5.4,-5.6,-4.8,-5.9,-5.6,-6.8,-10.1,-4.9,-4.5,-3.9,-5.4,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c2csc(N)n2)C(=O)N1S(=O)(=O)[O-]
AZASAN; AZATHIOPRINE,-5.3,-5.2,-4.6,-4.3,-5.2,-4.2,-5.7,-5.1,-4.8,-5.5,-4.9,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
AZASITE; AZITHROMYCIN,-6.8,-2.4,-6.5,-6.8,-8.4,0.0,-6.0,-7.9,-6.7,-2.4,-6.1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)C[N@H+](C)[C@H](C)[C@@H](O)[C@@]1(C)O
AZILECT; RASAGILINE MESYLATE,-7.2,-5.2,-4.3,-3.2,-4.3,-4.5,-4.2,-3.7,-4.2,-4.3,-5.1,C#CCN[C@@H]1CCc2ccccc21
AZO GANTANOL; PHENAZOPYRIDINE HYDROCHLORIDE,-5.7,-5.9,-4.8,-4.2,-4.9,-4.9,-5.7,-2.5,-4.1,-6.2,-5.5,Nc1ccc(/N=N/c2ccccc2)c(N)n1
